cidade;ibge;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;jovem;rodovia
Uchoa;3555604;220125;64;4896;1035;9539;684;779;795;17;2258;32
União Paulista;3555703;35069;63;879;178;1642;128;126;139;15;393;7
Urânia;3555802;141314;62;5368;1179;8775;610;646;675;19;1931;27
Uru;3555901;21326;100;647;110;1235;84;95;106;18;285;5
Urupês;3556008;214754;87;7832;1466;12855;902;995;1055;18;2952;18
Valentim Gentil;3556107;255502;67;6479;1782;11564;889;1012;1079;13;2979;11
Valinhos;3556206;4646972;91;81536;11923;112978;8082;9032;9902;13;27015;59
Valparaíso;3556305;591540;66;9066;1589;22993;1701;2076;2568;11;6346;33
Vargem;3556354;77837;63;4486;894;9160;748;770;789;16;2308;17
Vargem Grande do Sul;3556404;606733;63;22530;5561;39955;3156;3222;3302;14;9680;46
Vargem Grande Paulista;3556453;1246862;79;22593;3231;45904;3888;3898;4102;10;11889;17
Várzea Paulista;3556503;2137000;62;52706;12468;111329;9331;10017;10653;9;30001;4
Vera Cruz;3556602;100086;83;4792;945;10684;866;865;800;17;2531;23
Vinhedo;3556701;5915416;82;54128;9006;67915;4927;5539;6335;12;16801;25
Viradouro;3556800;220791;68;9280;2348;17623;1466;1559;1592;14;4616;21
Vista Alegre do Alto;3556909;248134;58;3934;588;7235;572;693;780;12;2045;10
Vitória Brasil;3556958;19749;57;741;176;1745;129;146;148;17;423;12
Votorantim;3557006;2860760;66;54403;12828;112110;9551;9780;10190;11;29520;28
Votuporanga;3557105;1978162;85;69173;24842;86903;6122;7008;7591;16;20720;56
Zacarias;3557154;65101;67;1221;288;2406;172;180;207;16;558;
