cidade;pib;mat1517;veiculos;motos;populacao;taxa_pop1519;taxa_pop2024;taxa_pop2529;pop60p;rodovia;cluster
Mongaguá;599650;81;15975;3689;48798;0,083773925;0,080679536;0,078856;15;17;2
Monte Alegre do Sul;151303;73;4926;1378;7345;0,073927842;0,079918312;0,080735;16;6;2
Monte Alto;1278238;72;34246;12435;47235;0,07361067;0,078861014;0,084514;16;40;2
Monte Aprazível;512943;77;13556;2605;22337;0,067108385;0,079733178;0,087881;16;61;3
Monte Azul Paulista;323264;62;10746;2397;18707;0,07911477;0,084086171;0,084728;15;23;2
Monte Castelo;66769;66;1740;348;4036;0,076560951;0,074826561;0,071853;19;20;2
Monte Mor;2513665;73;21217;4043;52066;0,088829562;0,090788614;0,091941;10;21;4
Monteiro Lobato;44520;71;2679;549;4224;0,08688447;0,077651515;0,070549;16;33;2
Morro Agudo;897117;58;14144;3745;30083;0,083701758;0,090449756;0,098029;10;42;4
Morungaba;379634;67;7586;1267;12216;0,082187295;0,085625409;0,089227;13;10;4
Motuca;67766;67;1909;288;4395;0,080773606;0,088282139;0,087144;12;27;4
Murutinga do Sul;48656;64;1773;380;4217;0,073749111;0,069717809;0,065924;20;16;2
Nantes;61035;77;799;84;2817;0,090521832;0,088036919;0,083422;11;14;4
Narandiba;152614;71;1643;285;4449;0,090582153;0,091930771;0,081367;11;3;4
Natividade da Serra;53049;68;2017;499;6680;0,083832335;0,071257485;0,065868;19;23;2
Nazaré Paulista;253805;67;9072;2205;17023;0,084767667;0,085120132;0,083887;15;48;4
Neves Paulista;148386;70;4545;820;8738;0,063172351;0,071984436;0,080911;20;18;2
Nhandeara;226527;81;5871;1061;10763;0,064015609;0,07442163;0,079346;20;67;2
Nipoã;74892;54;2238;423;4497;0,07560596;0,091839004;0,100289;12;27;4
Nova Aliança;81613;60;2799;447;6061;0,076225045;0,079029863;0,08266;17;22;2
Nova Campina;297613;57;1516;442;8839;0,111098541;0,092996945;0,082136;8;27;4
Nova Canaã Paulista;25749;81;812;129;2059;0,067994172;0,061680427;0,056338;23;2;2
Nova Castilho;30117;62;521;75;1142;0,089316988;0,077057793;0,070053;16;27;2
Nova Europa;234034;65;4145;433;9735;0,080739599;0,08751926;0,093683;11;18;4
Nova Granada;266657;79;10444;2808;19707;0,078398539;0,084437002;0,089816;14;38;4
Nova Guataporanga;21663;69;961;178;2182;0,075618698;0,072410632;0,071952;20;8;2
Nova Independência;71981;86;1220;187;3276;0,084554335;0,089133089;0,090049;11;24;4
Nova Luzitânia;32864;72;1339;237;3637;0,073137201;0,081110806;0,097333;13;7;4
Nova Odessa;2037303;83;34815;7935;53375;0,078032787;0,084159251;0,090136;12;13;4
Novais;46801;58;1737;349;4881;0,083794304;0,104486785;0,108994;11;27;4
Novo Horizonte;710104;72;23014;5925;37318;0,074200118;0,081033282;0,084544;15;57;3
Nuporanga;352250;62;3228;332;6958;0,078327105;0,086662834;0,087813;14;7;4
Ocauçu;64147;56;1804;314;4156;0,079162656;0,08253128;0,079885;16;30;2
Óleo;48645;63;1030;137;2621;0,082411293;0,072109882;0,06219;19;3;2
Olímpia;1389101;79;30669;7511;50809;0,072369068;0,08152099;0,087701;16;76;3
Onda Verde;157628;73;1612;224;3987;0,082518184;0,087032857;0,085779;13;12;4
Oriente;73306;63;2536;399;6147;0,0761347;0,081828534;0,083781;16;12;2
Orindiúva;310987;70;3074;364;6045;0,082216708;0,09197684;0,101572;9;16;4
Orlândia;1301237;82;28321;8694;40558;0,078726762;0,084397653;0,088737;13;36;3
Osasco;50815170;87;361047;60432;670466;0,079839992;0,084295102;0,09116;11;41;3
Oscar Bressane;49217;70;1111;151;2529;0,067220245;0,076710162;0,07157;22;20;2
Osvaldo Cruz;727034;81;19468;4644;31040;0,073389175;0,093234536;0,078673;18;43;2
Ourinhos;2295423;74;61811;18617;105307;0,078579772;0,081400097;0,081562;14;70;3
Ouro Verde;87347;67;2852;632;7939;0,082126212;0,084645421;0,082378;14;2;4
Ouroeste;258249;74;4283;893;8827;0,079981874;0,087345644;0,089385;14;37;4
Pacaembu;138665;72;5600;784;13171;0,060587655;0,099081315;0,115861;16;14;4
Palestina;234137;66;5055;612;11409;0,071960733;0,082654045;0,089578;17;25;2
Palmares Paulista;91506;63;3280;597;11562;0,083722539;0,10300986;0,118665;8;16;4
Palmeira d'Oeste;123612;76;5622;1030;9426;0,072246976;0,069913007;0,064927;20;15;2
Palmital;452597;74;11927;2476;21316;0,075014074;0,074310377;0,073888;18;54;2
Panorama;214772;62;7312;2267;14767;0,086747477;0,086002573;0,081939;13;16;4
Paraguaçu Paulista;859178;81;23299;6174;42857;0,081176937;0,084023613;0,087337;14;121;3
Paraibuna;232074;56;7749;1646;17639;0,087363229;0,08560576;0,079143;14;85;4
Paraíso;163874;68;3319;357;6017;0,077114841;0,078610603;0,086089;15;14;2
Paranapanema;321928;65;7434;1182;18433;0,093256659;0,085987088;0,083383;11;88;4
Paranapuã;54354;64;1963;423;3841;0,081489196;0,076021869;0,071336;17;7;2
Parapuã;226395;62;4722;867;10736;0,074608793;0,077589419;0,075075;18;52;2
Pardinho;179472;66;2990;389;5819;0,08867503;0,085753566;0,078708;13;25;4
Pariquera-Açu;339089;76;6825;2095;18689;0,091925732;0,083418053;0,07796;13;55;4
